time,co2_emissions,T
2097,-3.515298741,1.5160173771462284
2098,-3.605953539,1.5064325607197158
2099,-3.696608337,1.4976881658369894
2100,-3.787263135,1.4910986277847675
2101,-3.774276449,1.486926028441244
2102,-3.761289762,1.4832167584561244
2103,-3.748303076,1.4785165621690408
2104,-3.73531639,1.4725439019189672
2105,-3.722329704,1.4645338131134689
2106,-3.709343018,1.4549692757366661
2107,-3.696356332,1.444825005108335
2108,-3.683369645,1.434872179384862
2109,-3.670382959,1.4259746035789025
2110,-3.657396273,1.4191101645827713
2111,-3.644409587,1.4158540112341162
2112,-3.631422901,1.4142685603488352
2113,-3.618436215,1.4118908169911988
2114,-3.605449528,1.4074031505023767
2115,-3.592462842,1.4008624743817215
2116,-3.579476156,1.3928730708796166
2117,-3.56648947,1.3836254620725317
2118,-3.553502784,1.3741594159223318
2119,-3.540516098,1.365157409330002
2120,-3.527529411,1.3580083306558577
2121,-3.514542725,1.353939256876246
2122,-3.501556039,1.3529540508955542
2123,-3.488569353,1.3515782249990598
2124,-3.475582667,1.3485421183020592
2125,-3.462595981,1.3436743189824096
2126,-3.449609294,1.3359661678218817
2127,-3.436622608,1.3268838053361696
2128,-3.423635922,1.3174668377276462
2129,-3.410649236,1.3086009755331676
2130,-3.39766255,1.301782679559838
2131,-3.384675864,1.2992408948919665
2132,-3.371689177,1.2992274040436462
2133,-3.358702491,1.2990236393224652
2134,-3.345715805,1.2972617404776212
2135,-3.332729119,1.29243277811024
2136,-3.319742433,1.2844987714351248
2137,-3.306755747,1.2750710381601407
2138,-3.29376906,1.2655794865258208
2139,-3.280782374,1.2563229639559084
2140,-3.267795688,1.2479359967469477
2141,-3.192050425,1.2416012369931078
2142,-3.116305163,1.23781706287398
2143,-3.0405599,1.2350553532122903
2144,-2.964814637,1.2322772515885292
2145,-2.889069375,1.2291558601838666
2146,-2.813324112,1.224542681658496
2147,-2.737578849,1.2189587422135157
2148,-2.661833587,1.2129248630925993
2149,-2.586088324,1.2063657039837263
2150,-2.510343061,1.1999325710211108
2151,-2.447584485,1.1940226371323122
2152,-2.384825908,1.1897354827016249
2153,-2.322067332,1.1886002230119705
2154,-2.259308755,1.190343549297054
2155,-2.196550179,1.1923606083639275
2156,-2.133791602,1.1929592752416536
2157,-2.071033025,1.191628921606875
2158,-2.008274449,1.1878158188060135
2159,-1.945515872,1.181959486454283
2160,-1.882757296,1.1752680628413124
2161,-1.819998719,1.1690849193828898
2162,-1.757240143,1.164877922534791
2163,-1.694481566,1.1641217161685085
2164,-1.63172299,1.1669524857049607
2165,-1.568964413,1.169946547429402
2166,-1.506205837,1.1716251041150552
2167,-1.44344726,1.1709546557057868
2168,-1.380688684,1.1670025520515255
2169,-1.317930107,1.1614137359355627
2170,-1.255171531,1.1553558416034444
2171,-1.192412954,1.1497492982828448
2172,-1.129654378,1.1456117800944117
2173,-1.066895801,1.1444760002955396
2174,-1.004137224,1.1460496651642196
